Id,Transported
304,1
2697,1
8424,1
1672,1
8458,1
3438,1
3362,1
3235,1
1139,1
1210,1
1470,1
2670,1
594,1
1328,1
4862,1
6167,1
647,1
8555,1
7579,1
1320,1
7780,1
6144,1
7893,1
8306,1
3320,1
221,1
7557,1
3288,1
14,1
8526,1
4970,1
3682,1
3985,1
2627,1
5729,1
5120,1
6152,1
3772,1
6994,1
4032,1
2663,1
1168,1
2623,1
7677,1
4216,1
675,1
2954,1
6973,1
6338,1
3915,1
4483,1
321,1
8023,1
6027,1
3050,1
7618,1
8564,1
2276,1
6523,1
8265,1
8607,1
1405,1
1835,1
6194,1
461,1
7117,1
2312,1
3070,1
2816,1
2319,1
3704,1
4638,1
7820,1
5155,1
5905,1
1905,1
2688,1
4254,1
601,1
7204,1
6064,1
6837,1
3066,1
7870,1
6666,1
3006,1
6642,1
7633,1
4956,1
3973,1
3355,1
7817,1
4353,1
5659,1
5263,1
2603,1
2072,1
8568,1
4742,1
4816,1
6785,1
4746,1
1219,1
3121,1
8686,1
3095,1
5643,1
4812,1
318,1
239,1
6933,1
4342,1
789,1
429,1
1446,1
4775,1
1877,1
2273,1
2310,1
3382,1
742,1
4301,1
3939,1
4034,1
4938,1
4645,1
5216,1
2107,1
682,1
8490,1
3045,1
758,1
932,1
7774,1
6205,1
8581,1
8153,1
8039,1
4464,1
6650,1
538,1
7432,1
2321,1
5630,1
3859,1
1533,1
623,1
7827,1
1034,1
6772,1
3949,1
3826,1
5269,1
3945,1
6120,1
3473,1
828,1
4794,1
23,1
1115,1
222,1
6332,1
3891,1
6266,1
5030,1
4229,1
360,1
1393,1
554,1
93,1
5398,1
7329,1
6408,1
5121,1
4220,1
5491,1
3703,1
346,1
7277,1
6844,1
212,1
6811,1
8289,1
2715,1
33,1
6349,1
664,1
567,1
2208,1
1452,1
5170,1
5662,1
3767,1
4879,1
2420,1
487,1
88,1
4140,1
8024,1
5234,1
8410,1
8279,1
6527,1
4903,1
6328,1
1844,1
1593,1
2941,1
1175,1
8105,1
5639,1
1502,1
5547,1
315,1
5113,1
7281,1
8625,1
7663,1
496,1
5159,1
604,1
2251,1
6786,1
637,1
6475,1
7953,1
1385,1
4919,1
2358,1
965,1
6814,1
1862,1
4461,1
2446,1
6135,1
2825,1
5419,1
5842,1
6447,1
4237,1
509,1
17,1
5265,1
2932,1
7600,1
4078,1
3213,1
1055,1
1513,1
6894,1
453,1
5340,1
2754,1
7484,1
2088,1
4705,1
3649,1
6659,1
2683,1
8672,1
6605,1
1608,1
6417,1
3098,1
7103,1
2177,1
7501,1
6999,1
3837,1
5198,1
7468,1
6662,1
6864,1
1971,1
6005,1
511,1
5473,1
7809,1
2718,1
4562,1
1057,1
2373,1
8107,1
6690,1
6929,1
1313,1
2191,1
6847,1
8190,1
1479,1
6282,1
1729,1
8367,1
3422,1
1532,1
4990,1
6647,1
6405,1
2755,1
185,1
4162,1
8149,1
8216,1
5911,1
4640,1
6034,1
5444,1
3018,1
1044,1
7087,1
3827,1
2389,1
7807,1
6602,1
8440,1
3379,1
3497,1
3317,1
353,1
1488,1
5673,1
2149,1
1934,1
3027,1
4814,1
1197,1
245,1
8547,1
5818,1
1618,1
7783,1
2995,1
6727,1
3194,1
1056,1
811,1
5595,1
6339,1
3337,1
7919,1
5410,1
8649,1
2083,1
8079,1
700,1
2963,1
7753,1
736,1
8262,1
5740,1
233,1
1010,1
4886,1
7132,1
7540,1
6401,1
2521,1
5460,1
8036,1
7792,1
7991,1
1643,1
6918,1
3836,1
3405,1
8570,1
19,1
3153,1
3465,1
4791,1
3457,1
319,1
7906,1
3971,1
3107,1
4339,1
766,1
7786,1
7003,1
5563,1
1747,1
8421,1
2549,1
7796,1
733,1
1598,1
169,1
7238,1
3397,1
5095,1
3105,1
6263,1
1721,1
2716,1
8,1
7545,1
8327,1
2592,1
6109,1
2680,1
1076,1
7191,1
6410,1
5086,1
1671,1
7813,1
3458,1
2908,1
4010,1
5733,1
1642,1
1691,1
1732,1
1005,1
1512,1
1417,1
1545,1
5365,1
1323,1
3541,1
3534,1
5212,1
4885,1
6049,1
5044,1
6440,1
7337,1
1147,1
921,1
1483,1
3058,1
2517,1
5756,1
5148,1
7214,1
5438,1
3528,1
5397,1
6334,1
3404,1
1568,1
7653,1
4331,1
4335,1
2862,1
2221,1
4686,1
1374,1
2970,1
7550,1
99,1
8215,1
1758,1
1864,1
7111,1
6911,1
2648,1
2061,1
6624,1
291,1
1739,1
5965,1
7059,1
2288,1
2002,1
668,1
7401,1
4273,1
1744,1
3146,1
1954,1
5378,1
4411,1
8483,1
6175,1
3231,1
1061,1
1597,1
1339,1
2699,1
8354,1
3755,1
1287,1
2303,1
6336,1
4773,1
1142,1
7878,1
2233,1
4587,1
3728,1
1527,1
8653,1
6289,1
1383,1
7876,1
4668,1
5952,1
5668,1
6669,1
6223,1
856,1
8619,1
8561,1
8119,1
5119,1
1195,1
5317,1
8241,1
4617,1
1559,1
5307,1
2388,1
7937,1
1017,1
5517,1
8221,1
4055,1
4813,1
8159,1
8189,1
8222,1
2997,1
6161,1
2609,1
868,1
483,1
457,1
1562,1
7867,1
3039,1
8041,1
330,1
5540,1
2263,1
1263,1
4209,1
763,1
8428,1
8485,1
1156,1
7528,1
1680,1
2287,1
6383,1
5544,1
2499,1
2516,1
1297,1
5871,1
4620,1
2157,1
6583,1
4868,1
1746,1
6935,1
6531,1
7946,1
3003,1
8218,1
7930,1
3078,1
1068,1
2399,1
540,1
5800,1
8318,1
7819,1
3964,1
4115,1
2245,1
2960,1
7596,1
908,1
3080,1
7198,1
1467,1
7603,1
5225,1
3428,1
2605,1
5282,1
5804,1
2883,1
1084,1
2483,1
248,1
7865,1
3723,1
4883,1
4767,1
263,1
1870,1
4151,1
8548,1
7463,1
532,1
2999,1
4354,1
8174,1
1491,1
8576,1
4866,1
7708,1
1586,1
3781,1
5414,1
8236,1
4343,1
7997,1
1193,1
7622,1
2673,1
2771,1
4625,1
8290,1
7697,1
8624,1
7476,1
6133,1
1867,1
6927,1
7539,1
217,1
6686,1
2025,1
2473,1
2304,1
6165,1
2318,1
3298,1
1659,1
6251,1
8668,1
4950,1
8657,1
8456,1
1027,1
7023,1
3065,1
5751,1
2939,1
1226,1
50,1
6378,1
7621,1
7444,1
5362,1
8691,1
7970,1
5617,1
4568,1
3268,1
4110,1
2588,1
2110,1
2691,1
4252,1
6597,1
5246,1
101,1
3529,1
8207,1
8611,1
8273,1
6711,1
7732,1
8513,1
5597,1
2531,1
7422,1
7038,1
7121,1
2944,1
8444,1
5039,1
3477,1
3346,1
7349,1
1400,1
3794,1
6762,1
6589,1
4022,1
4336,1
4047,1
1992,1
1665,1
2570,1
4001,1
2882,1
1253,1
6515,1
3411,1
5369,1
4147,1
8047,1
4945,1
180,1
5882,1
4050,1
2138,1
1783,1
349,1
8574,1
3574,1
1945,1
2812,1
4371,1
3125,1
5480,1
2840,1
3698,1
3969,1
2522,1
1501,1
1162,1
5199,1
2510,1
2692,1
1127,1
6486,1
6696,1
748,1
4890,1
3937,1
625,1
3365,1
8108,1
4604,1
676,1
3538,1
4280,1
6001,1
4936,1
1295,1
8466,1
3133,1
6603,1
3761,1
4934,1
5515,1
7675,1
6041,1
5523,1
710,1
1569,1
2943,1
4347,1
6215,1
8500,1
6595,1
3307,1
6913,1
4861,1
7765,1
586,1
8094,1
5371,1
7016,1
4913,1
6299,1
3290,1
8238,1
8269,1
2114,1
4373,1
4222,1
5893,1
172,1
6366,1
1741,1
3558,1
1649,1
3055,1
119,1
4525,1
267,1
2131,1
5138,1
7451,1
2317,1
2778,1
7272,1
3805,1
1002,1
8246,1
1544,1
5790,1
3879,1
2291,1
1718,1
3396,1
533,1
4731,1
1775,1
6051,1
65,1
5389,1
3777,1
7152,1
2456,1
354,1
6309,1
743,1
6216,1
3301,1
5180,1
2647,1
2897,1
940,1
7173,1
7071,1
472,1
6494,1
5412,1
8565,1
4210,1
6741,1
6868,1
1617,1
323,1
5484,1
4947,1
6975,1
1421,1
866,1
5679,1
1516,1
841,1
8012,1
730,1
5633,1
2826,1
4166,1
5660,1
6658,1
7289,1
7013,1
5661,1
1149,1
833,1
7971,1
7899,1
518,1
5156,1
3717,1
3773,1
2921,1
1038,1
2698,1
4844,1
3774,1
5041,1
8146,1
1244,1
2987,1
2063,1
2646,1
7944,1
1330,1
5001,1
7727,1
5457,1
8497,1
6307,1
5023,1
5824,1
4716,1
8582,1
1432,1
6858,1
4436,1
7230,1
2992,1
5970,1
2753,1
4401,1
4191,1
6853,1
1768,1
3966,1
6427,1
4194,1
5594,1
6348,1
6182,1
6628,1
6317,1
177,1
6682,1
132,1
8393,1
2554,1
4750,1
1075,1
1373,1
0,1
2115,1
6247,1
3063,1
1543,1
7631,1
4881,1
1438,1
6582,1
1803,1
3181,1
4684,1
149,1
5059,1
4789,1
4787,1
1765,1
411,1
408,1
7366,1
4447,1
7611,1
157,1
6773,1
3299,1
7988,1
7499,1
1437,1
6224,1
6432,1
199,1
2888,1
712,1
4712,1
8040,1
37,1
4730,1
7237,1
2884,1
7835,1
4800,1
3470,1
5107,1
5381,1
7650,1
2579,1
4081,1
4174,1
7018,1
2249,1
5731,1
1730,1
927,1
8345,1
879,1
994,1
1123,1
8452,1
3035,1
95,1
6560,1
3872,1
7137,1
7981,1
6501,1
5794,1
6556,1
3469,1
5270,1
6978,1
4080,1
4386,1
5780,1
794,1
4103,1
2275,1
4511,1
1595,1
6912,1
7171,1
5849,1
251,1
4279,1
334,1
2638,1
2132,1
4518,1
5103,1
8473,1
8316,1
6055,1
1022,1
1298,1
2684,1
2199,1
6942,1
1420,1
2337,1
8641,1
6485,1
5706,1
1183,1
1688,1
2067,1
2864,1
3989,1
8237,1
3921,1
6129,1
3077,1
6476,1
1046,1
2833,1
7044,1
4148,1
1726,1
550,1
80,1
7696,1
3656,1
3933,1
2412,1
465,1
3025,1
4323,1
7781,1
1078,1
3889,1
8325,1
2900,1
7512,1
2569,1
1346,1
3686,1
2133,1
3443,1
1087,1
6691,1
503,1
1740,1
274,1
4446,1
3132,1
8598,1
4651,1
8369,1
4288,1
683,1
1090,1
997,1
4284,1
6860,1
4506,1
744,1
8631,1
1233,1
6548,1
5614,1
3437,1
1626,1
2847,1
7465,1
4756,1
